tool_name,vulnerability_type,cwe_id,cvss_score,raw_severity,lines_in_function,cyclomatic_complexity,is_core_module,requires_auth,exposed_to_internet,description_length,priority,remediation_plan
Bandit,Path Traversal,584,0.1,High,433,15,1,1,0,140,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,60,2.4,Low,245,46,0,0,1,641,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,430,9.8,Low,320,25,0,0,0,452,High,Rotate all exposed credentials. Implement secrets management.
Bandit,Path Traversal,985,8.0,High,317,21,1,1,0,847,Medium,Implement input validation. Chroot sensitive directories.
ZAP,RCE,657,9.6,Critical,413,24,1,0,0,768,High,Fix within 1 week. Implement temporary mitigations.
ZAP,CSRF,605,4.9,Medium,295,5,1,0,0,441,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,Path Traversal,309,1.1,Critical,128,6,1,1,0,713,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,520,5.5,Medium,344,49,0,0,1,506,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,591,4.5,Critical,282,43,1,0,1,412,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,27,8.4,Low,17,48,1,0,0,332,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,CSRF,686,1.0,High,71,44,0,1,1,219,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,562,4.9,High,269,47,1,1,1,624,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,199,1.5,Low,325,23,1,0,1,338,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,Path Traversal,387,3.2,Medium,282,4,0,1,1,381,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,349,7.4,Medium,305,27,1,1,1,469,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,960,4.8,Medium,451,18,1,1,1,142,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,940,3.8,Low,7,21,1,0,0,844,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,693,3.9,Medium,314,28,1,0,1,660,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,536,4.6,Low,305,35,1,1,1,130,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,Hardcoded Secret,828,7.9,Critical,103,22,1,0,1,615,High,Rotate all exposed credentials. Implement secrets management.
ZAP,SSRF,378,8.9,Critical,309,40,0,0,0,461,High,Implement network-level restrictions. Validate all URL inputs.
ZAP,SQL Injection,899,9.6,Low,193,23,1,0,1,974,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,XSS,916,7.9,High,241,3,0,0,1,138,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,Path Traversal,558,3.2,Critical,62,40,0,0,1,100,Medium,Implement input validation. Chroot sensitive directories.
ZAP,Hardcoded Secret,527,6.9,Medium,17,10,0,1,0,613,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,153,4.4,Low,171,25,0,0,1,584,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,734,2.5,Medium,25,49,1,0,0,38,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,206,8.4,Medium,251,8,1,0,1,731,High,Fix within 1 week. Implement temporary mitigations.
Bandit,CSRF,455,0.4,High,253,11,1,1,0,533,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,273,9.0,Medium,387,5,0,1,0,342,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SSRF,894,4.6,High,207,45,1,1,0,306,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,XSS,236,6.4,Critical,29,37,1,0,1,139,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,852,6.6,Low,117,45,1,1,0,302,Medium,Address within 1 month. Include in next security sprint.
SonarQube,CSRF,740,9.0,Medium,491,38,0,1,0,182,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,521,6.4,Low,416,29,0,1,0,729,Medium,Address within 1 month. Include in next security sprint.
SonarQube,CSRF,678,6.1,Medium,282,5,1,1,0,953,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,SQL Injection,944,0.7,Low,380,9,0,0,1,33,Medium,Address within 1 month. Include in next security sprint.
